longitude,latitude,year,month,day,date,air_tmax,air_tmax_source,air_tmin,air_tmin_source,elev_m,et_morton_actual,et_morton_actual_source,et_morton_potential,et_morton_potential_source,et_morton_wet,et_morton_wet_source,et_short_crop,et_short_crop_source,et_tall_crop,et_tall_crop_source,evap_comb,evap_comb_source,evap_morton_lake,evap_morton_lake_source,evap_pan,evap_pan_source,evap_syn,evap_syn_source,extracted,mslp,mslp_source,radiation,radiation_source,rainfall,rainfall_source,rh_tmax,rh_tmax_source,rh_tmin,rh_tmin_source,vp,vp_deficit,vp_deficit_source,vp_source,location
146.5,-38.19,2022,4,1,2022-04-01,18.7,25,12.2,25,60.8 m,0.6,26,3.3,26,2,26,2.3,26,3,26,4.1,25,2,26,4.1,25,2.3,26,2024-10-27,1028,25,10.4,42,0.2,25,56.1,26,85.2,26,12.1,7.4,26,25,Traralgon
146.5,-38.19,2022,4,2,2022-04-02,18.5,25,12.2,25,60.8 m,1,26,1.8,26,1.4,26,1.4,26,1.8,26,2.4,25,1.4,26,2.4,25,1.7,26,2024-10-27,1022.7,25,5,42,1.5,25,68.6,26,100,26,14.6,4.7,26,25,Traralgon
146.5,-38.19,2022,4,3,2022-04-03,18.2,25,13.4,25,60.8 m,1,26,1.4,26,1.2,26,1.2,26,1.5,26,1.2,25,1.2,26,1.2,25,1.5,26,2024-10-27,1015.8,25,4.3,42,1.8,25,75.6,26,100,26,15.8,3.6,26,25,Traralgon
146.5,-38.19,2022,4,4,2022-04-04,18.5,25,14,25,60.8 m,1.6,26,1.7,26,1.7,26,1.3,26,1.6,26,2.4,25,1.6,26,2.4,25,1.6,26,2024-10-27,1013,25,6.1,42,7.2,25,77,26,100,26,16.4,3.4,26,25,Traralgon
146.5,-38.19,2022,4,5,2022-04-05,21.2,25,10.8,25,60.8 m,1.2,26,3,26,2.1,26,2.2,26,2.9,26,2.8,25,2.1,26,2.8,25,2.5,26,2024-10-27,1017.7,25,11,42,0,25,54,26,100,26,13.6,7.8,26,25,Traralgon
146.5,-38.19,2022,4,6,2022-04-06,19,25,12.4,25,60.8 m,1.8,26,1.9,26,1.9,26,1.4,26,1.7,26,2.3,25,1.9,26,2.3,25,1.8,26,2024-10-27,1020.6,25,7.2,42,0,25,71.5,26,100,26,15.7,4.1,26,25,Traralgon
146.5,-38.19,2022,4,7,2022-04-07,19.5,25,14.4,25,60.8 m,1.3,26,2.7,26,2,26,1.7,26,2.3,26,2.9,25,2,26,2.9,25,1.9,26,2024-10-27,1025.5,25,7.4,42,2.5,25,67.5,26,93.3,26,15.3,5.6,26,25,Traralgon
146.5,-38.19,2022,4,8,2022-04-08,22.3,25,13.9,25,60.8 m,1.1,26,3.1,26,2.1,26,2.2,26,2.9,26,2.8,25,2.1,26,2.8,25,2.4,26,2024-10-27,1026.4,25,10.3,42,1.9,25,58,26,98.3,26,15.6,8.1,26,25,Traralgon
146.5,-38.19,2022,4,9,2022-04-09,25.3,25,15.2,25,60.8 m,2,26,4.5,26,3.3,26,3,26,3.9,26,2.4,25,3.3,26,2.4,25,3.1,26,2024-10-27,1023,25,15.4,42,0.2,25,52.1,26,97.3,26,16.8,10.9,26,25,Traralgon
146.5,-38.19,2022,4,10,2022-04-10,28,25,11.5,25,60.8 m,2.3,26,3.5,26,2.9,26,2.8,26,3.6,26,3.3,25,2.9,26,3.3,25,3.2,26,2024-10-27,1018.6,25,13.7,42,0,25,48.7,26,100,26,18.4,11.2,26,25,Traralgon
